date,max_SWDOWN
2022-03-01,1059.4
2022-03-02,1067.36
2022-03-03,1063.33
2022-03-04,1049.79
2022-03-05,1052.9
2022-03-06,1036.86
2022-03-07,1045.74
2022-03-08,1048.53
2022-03-09,1071.08
2022-03-10,1083.08
2022-03-11,1087.16
2022-03-12,1072.03
2022-03-13,1089.5
2022-03-14,1071.97
2022-03-15,1061.33
2022-03-16,1014.77
2022-03-17,1048.65
2022-03-18,1065.74
2022-03-19,1071.66
2022-03-20,1080.42
2022-03-21,1076.48
2022-03-22,1108.04
2022-03-23,1104.05
2022-03-24,1129.65
2022-03-25,1125.97
2022-03-26,1145.98
2022-03-27,1125.24
2022-03-28,1112.07
2022-03-29,1105.32
2022-03-30,1115.71
2022-03-31,1119.04
