,SWDOWN,SWDOWN,SWDOWN,SWDOWN
,mean,max,min,std
date,,,,
2022-05-01,255.26,815.69,0.0,318.73
2022-05-02,302.03,1076.68,0.0,382.94
2022-05-03,328.42,1119.79,0.0,420.69
2022-05-04,340.79,1124.36,0.0,423.0
2022-05-05,335.84,1116.62,0.0,417.05
2022-05-06,308.65,1123.05,0.0,391.9
2022-05-07,324.94,1117.74,0.0,408.16
2022-05-08,292.7,1087.58,0.0,370.25
2022-05-09,321.78,1120.3,0.0,414.72
2022-05-10,360.51,1135.48,0.0,440.33
2022-05-11,363.26,1133.43,0.0,433.02
2022-05-12,374.9,1155.24,0.0,446.31
2022-05-13,375.05,1153.23,0.0,446.84
2022-05-14,364.11,1137.19,0.0,435.22
2022-05-15,351.07,1141.09,0.0,423.55
2022-05-16,381.19,1174.01,0.0,454.52
2022-05-17,375.06,1151.92,0.0,445.03
2022-05-18,362.52,1153.51,0.0,435.67
2022-05-19,354.43,1133.24,0.0,429.62
2022-05-20,323.6,1117.7,0.0,397.49
2022-05-21,313.11,1099.04,0.0,390.83
2022-05-22,317.77,1125.89,0.0,396.22
2022-05-23,337.32,1130.36,0.0,418.84
2022-05-24,280.6,1036.23,0.0,349.68
2022-05-25,300.18,1100.31,0.0,383.13
2022-05-26,343.86,1125.22,0.0,419.9
2022-05-27,370.02,1138.77,0.0,440.49
2022-05-28,321.39,1128.15,0.0,393.56
2022-05-29,306.92,1081.28,0.0,378.12
2022-05-30,265.46,1098.34,0.0,339.06
2022-05-31,234.54,1080.9,0.0,310.86
2022-06-01,186.67,924.6,0.0,253.94
2022-06-02,159.34,774.9,0.0,215.83
2022-06-03,255.38,1110.84,0.0,343.34
2022-06-04,353.82,1121.64,0.0,435.63
2022-06-05,204.19,204.19,204.19,
